SFE_1,SFE_2,int_type,freq_1,freq_2,n_1,n_2,overlap_ratio,direction,FDR* < 0.1,EIS (ASC corrected score),n_tumor_types_testable,n_tumor_types_significant,interaction_specificity,tumor_types_significant
AMP.3.12484849.12485147,AMP.17.27212604.27212604,CNA_AMP CNA_AMP,0.01,0.02,77,115,0.30,CO,FALSE,0.47,3,2,multiple_tumor_types,"blca,brca"
VHL,AMP.5.176838719.176838719,MUTATION CNA_AMP,0.03,0.02,178,96,0.42,CO,FALSE,0.47,1,0,not_detectable,
AMP.4.74048890.74048890,AMP.6.11418727.20405019,CNA_AMP CNA_AMP,0.01,0.03,75,155,0.02,ME,TRUE,0.47,3,2,multiple_tumor_types,"blca,brca"
AMP.17.20909644.21143422,AMP.X.42069057.46893337,CNA_AMP CNA_AMP,0.01,0.02,57,91,0.00,ME,FALSE,0.47,2,2,multiple_tumor_types,"brca,ov"
AMP.10.77066289.77066289,AMP.14.20524352.20524352,CNA_AMP CNA_AMP,0.01,0.01,83,57,0.00,ME,FALSE,0.47,2,2,multiple_tumor_types,"brca,ov"
CSNK2A1,NOTCH2,MUTATION MUTATION,0.00,0.01,10,80,0.40,CO,TRUE,0.47,0,0,not_detectable,
AMP.7.28900014.36009568,AMP.19.58724943.58724943,CNA_AMP CNA_AMP,0.01,0.01,73,84,0.00,ME,FALSE,0.47,5,5,multiple_tumor_types,"blca,brca,esca,ov,stad"
AMP.8.81202107.81202107,DEL.3.71000305.86123993,CNA_AMP CNA_DEL,0.04,0.01,243,66,0.00,ME,FALSE,0.47,5,5,multiple_tumor_types,"blca,brca,esca,hnsc,prad"
AMP.7.73849586.75591429,AMP.14.77404750.77405619,CNA_AMP CNA_AMP,0.02,0.01,101,35,0.27,CO,TRUE,0.47,2,2,multiple_tumor_types,"brca,ov"
BMPR1A,DEL.14.103241015.103378665,MUTATION CNA_DEL,0.00,0.01,12,38,0.50,CO,TRUE,0.46,0,0,not_detectable,
RB1,AMP.11.66999677.66999677,MUTATION CNA_AMP,0.03,0.03,173,193,0.01,ME,FALSE,0.46,9,8,multiple_tumor_types,"brca,esca,hnsc,lihc,ov,skcm,stad,ucec"
AMP.2.48118896.48268075,AMP.14.20524352.20524352,CNA_AMP CNA_AMP,0.01,0.01,56,57,0.00,ME,FALSE,0.46,3,3,multiple_tumor_types,"blca,brca,ov"
BRAF,AMP.7.17059174.25055342,MUTATION CNA_AMP,0.09,0.02,519,126,0.02,ME,FALSE,0.46,4,4,multiple_tumor_types,"gbm,luad,skcm,stad"
DEL.9.840971.10617850,DEL.13.48876592.49059721,CNA_DEL CNA_DEL,0.02,0.03,98,166,0.03,ME,FALSE,0.46,6,5,multiple_tumor_types,"blca,brca,gbm,ov,stad"
RB1,AMP.8.101448416.101450242,MUTATION CNA_AMP,0.03,0.06,173,361,0.04,ME,FALSE,0.46,11,8,multiple_tumor_types,"blca,crc,hnsc,lihc,luad,skcm,stad,ucec"
DEL.1.217597651.224564387,DEL.10.52741254.54060101,CNA_DEL CNA_DEL,0.00,0.01,12,36,0.33,CO,FALSE,0.46,0,0,not_detectable,
KDM5C,PBRM1,MUTATION MUTATION,0.01,0.03,42,196,0.26,CO,FALSE,0.46,2,0,not_detectable,
AMP.2.83991586.84025341,AMP.12.915322.916021,CNA_AMP CNA_AMP,0.01,0.02,41,146,0.00,ME,FALSE,0.46,3,3,multiple_tumor_types,"brca,lusc,ov"
AMP.17.48975595.48975595,AMP.21.15658830.17586892,CNA_AMP CNA_AMP,0.02,0.01,134,52,0.00,ME,FALSE,0.45,3,3,multiple_tumor_types,"blca,brca,ov"
RPL22,STAT5B,MUTATION MUTATION,0.01,0.00,58,18,0.50,CO,FALSE,0.45,0,0,not_detectable,
EPHA2,FGFR1,MUTATION MUTATION,0.01,0.00,35,10,0.50,CO,FALSE,0.45,0,0,not_detectable,
CDH1,AMP.3.169424861.197278637,MUTATION CNA_AMP,0.02,0.10,143,618,0.00,ME,FALSE,0.45,2,2,multiple_tumor_types,"brca,stad"
CBFB,GATA3,MUTATION MUTATION,0.00,0.02,19,134,0.43,CO,FALSE,0.45,1,1,tumor_type_specific,brca
AMP.17.19194237.19488218,AMP.X.42069057.46893337,CNA_AMP CNA_AMP,0.01,0.02,66,91,0.00,ME,FALSE,0.45,1,1,tumor_type_specific,brca
AMP.10.77066289.77066289,AMP.X.52706693.54237966,CNA_AMP CNA_AMP,0.01,0.01,83,61,0.00,ME,FALSE,0.45,2,2,multiple_tumor_types,"brca,ov"
DEL.15.28099124.41984723,DEL.21.15372509.15372509,CNA_DEL CNA_DEL,0.01,0.01,82,70,0.00,ME,FALSE,0.45,4,4,multiple_tumor_types,"brca,crc,ov,stad"
DEL.10.135190570.135206354,DEL.X.9932138.10648093,CNA_DEL CNA_DEL,0.01,0.02,68,108,0.00,ME,FALSE,0.45,2,2,multiple_tumor_types,"brca,lgg"
AMP.17.27212604.27212604,AMP.X.23815873.23981176,CNA_AMP CNA_AMP,0.02,0.01,115,65,0.25,CO,FALSE,0.45,3,2,multiple_tumor_types,"brca,ov"
KMT2C,KMT2D,MUTATION MUTATION,0.03,0.04,206,229,0.33,CO,TRUE,0.45,9,3,multiple_tumor_types,"blca,cesc,stad"
DEL.3.187930513.188613929,DEL.21.42835494.42881850,CNA_DEL CNA_DEL,0.00,0.01,24,43,0.43,CO,FALSE,0.45,2,1,tumor_type_specific,prad
AMP.5.1288694.1288694,AMP.8.81202107.81202107,CNA_AMP CNA_AMP,0.05,0.04,282,243,0.09,ME,TRUE,0.44,10,5,multiple_tumor_types,"esca,lihc,skcm,stad,ucec"
AMP.8.55224770.55228081,DEL.18.77107934.77107934,CNA_AMP CNA_DEL,0.03,0.02,190,103,0.00,ME,FALSE,0.44,7,7,multiple_tumor_types,"brca,crc,esca,hnsc,lusc,ov,stad"
DEL.10.89621061.89730647,DEL.16.78129906.89379319,CNA_DEL CNA_DEL,0.04,0.03,237,162,0.06,ME,TRUE,0.44,8,4,multiple_tumor_types,"brca,cesc,crc,ucec"
PTEN,AMP.20.30246540.30250340,MUTATION CNA_AMP,0.06,0.04,362,212,0.01,ME,FALSE,0.44,9,8,multiple_tumor_types,"blca,brca,cesc,crc,skcm,stad,ucec,ucs"
VHL,AMP.2.199633768.201567480,MUTATION CNA_AMP,0.03,0.01,178,44,0.00,ME,FALSE,0.44,0,0,not_detectable,
AMP.1.150585939.161066590,DEL.9.21186568.28981526,CNA_AMP CNA_DEL,0.08,0.12,458,728,0.18,ME,FALSE,0.44,12,5,multiple_tumor_types,"blca,esca,lihc,lusc,stad"
AMP.7.128461720.131269247,AMP.12.40169602.40380763,CNA_AMP CNA_AMP,0.02,0.01,110,51,0.00,ME,FALSE,0.44,2,2,multiple_tumor_types,"brca,ov"
AMP.7.55245364.55247588,AMP.19.10562152.10562152,CNA_AMP CNA_AMP,0.05,0.02,292,125,0.04,ME,FALSE,0.44,4,3,multiple_tumor_types,"brca,esca,stad"
AMP.3.12484849.12485147,AMP.10.77066289.77066289,CNA_AMP CNA_AMP,0.01,0.01,77,83,0.00,ME,FALSE,0.44,3,3,multiple_tumor_types,"brca,ov,stad"
CDKN2A,RAC1,MUTATION MUTATION,0.03,0.00,164,20,0.35,CO,FALSE,0.44,1,1,tumor_type_specific,skcm
KMT2C,AMP.19.58724943.58724943,MUTATION CNA_AMP,0.03,0.01,206,84,0.00,ME,FALSE,0.44,5,5,multiple_tumor_types,"blca,brca,esca,lusc,stad"
AMP.2.178114632.178114912,AMP.3.169424861.197278637,CNA_AMP CNA_AMP,0.01,0.10,79,618,0.52,CO,FALSE,0.44,5,2,multiple_tumor_types,"hnsc,lusc"
POLE,XRN1,MUTATION MUTATION,0.01,0.01,47,29,0.30,CO,TRUE,0.44,2,0,not_detectable,
AMP.17.73587414.80008392,DEL.18.77107934.77107934,CNA_AMP CNA_DEL,0.04,0.02,232,103,0.01,ME,FALSE,0.44,6,5,multiple_tumor_types,"brca,crc,esca,lusc,stad"
DEL.8.140742585.141468678,DEL.10.111624428.114932249,CNA_DEL CNA_DEL,0.00,0.01,17,29,0.27,CO,FALSE,0.44,1,1,tumor_type_specific,lgg
AMP.7.116339534.116341218,AMP.9.5423103.5423103,CNA_AMP CNA_AMP,0.01,0.02,84,89,0.00,ME,FALSE,0.44,4,4,multiple_tumor_types,"esca,ov,skcm,stad"
RB1,AMP.7.92240982.92241005,MUTATION CNA_AMP,0.03,0.02,173,139,0.00,ME,FALSE,0.44,9,9,multiple_tumor_types,"brca,esca,gbm,hnsc,lihc,luad,lusc,ov,stad"
DEL.9.21186568.28981526,DEL.22.49331012.49331012,CNA_DEL CNA_DEL,0.12,0.02,728,119,0.12,ME,TRUE,0.43,5,2,multiple_tumor_types,"luad,stad"
AMP.12.25358573.25362498,AMP.16.24709884.24713284,CNA_AMP CNA_AMP,0.03,0.01,175,60,0.00,ME,FALSE,0.43,2,2,multiple_tumor_types,"blca,brca"
GNAQ,SF3B1,MUTATION MUTATION,0.00,0.01,10,37,0.50,CO,FALSE,0.43,0,0,not_detectable,
AMP.5.1288694.1288694,AMP.13.28407058.28407781,CNA_AMP CNA_AMP,0.05,0.01,282,61,0.00,ME,FALSE,0.43,2,2,multiple_tumor_types,"brca,stad"
CASP5,ZC3H13,MUTATION MUTATION,0.01,0.01,42,78,0.32,CO,FALSE,0.43,2,0,not_detectable,
B2M,STAT5B,MUTATION MUTATION,0.01,0.00,51,18,0.31,CO,FALSE,0.43,1,1,tumor_type_specific,stad
AMP.9.140086045.140086045,AMP.16.5822456.8914905,CNA_AMP CNA_AMP,0.02,0.01,88,81,0.00,ME,FALSE,0.43,2,2,multiple_tumor_types,"brca,ov"
AMP.11.69476266.70165505,AMP.19.30307380.30308526,CNA_AMP CNA_AMP,0.08,0.05,465,271,0.18,ME,TRUE,0.43,7,4,multiple_tumor_types,"blca,esca,ov,stad"
CASP8,AMP.11.69476266.70165505,MUTATION CNA_AMP,0.01,0.08,65,465,0.00,ME,TRUE,0.43,5,5,multiple_tumor_types,"brca,cesc,hnsc,stad,ucec"
AMP.2.97519493.97570064,AMP.3.52516731.52516731,CNA_AMP CNA_AMP,0.01,0.00,43,18,0.40,CO,TRUE,0.43,1,1,tumor_type_specific,ov
CDKN2A,AMP.12.58145117.58145457,MUTATION CNA_AMP,0.03,0.02,164,125,0.00,ME,FALSE,0.43,3,3,multiple_tumor_types,"luad,skcm,stad"
ARID1A,AMP.6.54167681.54891542,MUTATION CNA_AMP,0.06,0.02,361,90,0.00,ME,FALSE,0.43,5,5,multiple_tumor_types,"brca,esca,hnsc,skcm,stad"
AMP.10.32421128.35328088,AMP.17.19194237.19488218,CNA_AMP CNA_AMP,0.01,0.01,74,66,0.00,ME,FALSE,0.43,2,2,multiple_tumor_types,"brca,lihc"
AMP.10.77066289.77066289,AMP.14.35883749.35884199,CNA_AMP CNA_AMP,0.01,0.01,83,81,0.00,ME,FALSE,0.43,2,2,multiple_tumor_types,"brca,ov"
TP53,AMP.12.69233458.69237735,MUTATION CNA_AMP,0.37,0.03,2245,181,0.31,ME,TRUE,0.43,11,5,multiple_tumor_types,"blca,esca,gbm,luad,stad"
AMP.4.155476782.160216724,AMP.18.71882995.71895897,CNA_AMP CNA_AMP,0.01,0.00,28,27,0.25,CO,TRUE,0.42,1,1,tumor_type_specific,brca
HLA-B,AMP.11.69476266.70165505,MUTATION CNA_AMP,0.01,0.08,50,465,0.00,ME,TRUE,0.42,4,4,multiple_tumor_types,"cesc,esca,hnsc,stad"
MAP3K1,AMP.16.24709884.24713284,MUTATION CNA_AMP,0.02,0.01,99,60,0.29,CO,FALSE,0.42,1,1,tumor_type_specific,brca
NFE2L2,VHL,MUTATION MUTATION,0.02,0.03,99,178,0.00,ME,FALSE,0.42,1,1,tumor_type_specific,kirc
AMP.17.1268683.1310247,AMP.22.29714198.30244963,CNA_AMP CNA_AMP,0.01,0.01,36,70,0.23,CO,FALSE,0.42,1,1,tumor_type_specific,ov
ARHGAP35,NFE2L2,MUTATION MUTATION,0.01,0.02,83,99,0.00,ME,FALSE,0.42,3,3,multiple_tumor_types,"blca,hnsc,ucec"
AMP.1.16424099.16424099,AMP.4.1798300.1798300,CNA_AMP CNA_AMP,0.01,0.01,45,80,0.25,CO,FALSE,0.42,2,0,not_detectable,
ALK,AMP.4.155476782.160216724,MUTATION CNA_AMP,0.01,0.01,28,28,0.23,CO,TRUE,0.42,0,0,not_detectable,
DNMT3A,U2AF1,MUTATION MUTATION,0.01,0.00,63,27,0.33,CO,FALSE,0.42,1,0,not_detectable,
RB1,SMAD4,MUTATION MUTATION,0.03,0.02,173,88,0.00,ME,FALSE,0.42,4,4,multiple_tumor_types,"brca,crc,esca,stad"
AMP.8.11491539.11649069,AMP.10.32421128.35328088,CNA_AMP CNA_AMP,0.01,0.01,57,74,0.00,ME,FALSE,0.42,2,2,multiple_tumor_types,"esca,stad"
IDH1,AMP.19.39856246.39856246,MUTATION CNA_AMP,0.05,0.03,281,157,0.35,CO,FALSE,0.42,1,0,not_detectable,
DEL.13.48876592.49059721,DEL.17.11921944.12047931,CNA_DEL CNA_DEL,0.03,0.01,166,69,0.02,ME,FALSE,0.42,4,3,multiple_tumor_types,"blca,brca,stad"
AMP.12.58145117.58145457,DEL.13.48876592.49059721,CNA_AMP CNA_DEL,0.02,0.03,125,166,0.00,ME,FALSE,0.42,4,4,multiple_tumor_types,"brca,gbm,luad,stad"
DEL.1.113737673.113749602,DEL.7.40165997.40906602,CNA_DEL CNA_DEL,0.01,0.00,28,8,0.40,CO,FALSE,0.42,0,0,not_detectable,
CD58,KMT2E,MUTATION MUTATION,0.00,0.01,21,42,0.33,CO,FALSE,0.42,2,1,tumor_type_specific,crc
ARID1A,RNF43,MUTATION MUTATION,0.06,0.02,361,103,0.57,CO,FALSE,0.42,3,2,multiple_tumor_types,"crc,stad"
AMP.17.19194237.19488218,AMP.22.29714198.30244963,CNA_AMP CNA_AMP,0.01,0.01,66,70,0.00,ME,FALSE,0.42,3,3,multiple_tumor_types,"blca,brca,lusc"
KMT2C,AMP.18.365815.1070920,MUTATION CNA_AMP,0.03,0.01,206,82,0.00,ME,FALSE,0.41,6,6,multiple_tumor_types,"blca,brca,esca,hnsc,lusc,skcm"
ERBB2,PTEN,MUTATION MUTATION,0.01,0.06,83,362,0.03,ME,FALSE,0.41,4,3,multiple_tumor_types,"brca,crc,stad"
AMP.13.73953432.73954914,AMP.16.29109938.30914723,CNA_AMP CNA_AMP,0.01,0.02,64,101,0.00,ME,FALSE,0.41,3,3,multiple_tumor_types,"blca,crc,esca"
BRAF,AMP.22.41598565.41603654,MUTATION CNA_AMP,0.09,0.01,519,31,0.43,CO,FALSE,0.41,1,0,not_detectable,
BMPR1A,DICER1,MUTATION MUTATION,0.00,0.01,12,39,0.38,CO,FALSE,0.41,0,0,not_detectable,
AMP.17.19194237.19488218,AMP.20.30246540.30250340,CNA_AMP CNA_AMP,0.01,0.04,66,212,0.02,ME,TRUE,0.41,3,3,multiple_tumor_types,"blca,brca,lusc"
RB1,AMP.2.178114632.178114912,MUTATION CNA_AMP,0.03,0.01,173,79,0.00,ME,FALSE,0.41,5,5,multiple_tumor_types,"esca,hnsc,luad,lusc,ov"
CHD4,RASA1,MUTATION MUTATION,0.01,0.01,70,59,0.00,ME,FALSE,0.41,3,3,multiple_tumor_types,"crc,stad,ucec"
AMP.7.128461720.131269247,AMP.17.20909644.21143422,CNA_AMP CNA_AMP,0.02,0.01,110,57,0.00,ME,FALSE,0.41,2,2,multiple_tumor_types,"brca,ov"
BRAF,NF1,MUTATION MUTATION,0.09,0.03,519,189,0.18,ME,TRUE,0.41,5,1,tumor_type_specific,skcm
MAP2K1,PPP6C,MUTATION MUTATION,0.01,0.00,32,24,0.24,CO,FALSE,0.41,1,1,tumor_type_specific,skcm
DEL.16.78129906.89379319,DEL.17.11921944.12047931,CNA_DEL CNA_DEL,0.03,0.01,162,69,0.02,ME,FALSE,0.41,4,4,multiple_tumor_types,"brca,crc,ov,stad"
NCOR2,RNF43,MUTATION MUTATION,0.01,0.02,81,103,0.49,CO,FALSE,0.41,2,1,tumor_type_specific,crc
AMP.10.77066289.77066289,AMP.X.49370374.49370374,CNA_AMP CNA_AMP,0.01,0.01,83,66,0.00,ME,TRUE,0.41,2,2,multiple_tumor_types,"brca,ov"
AMP.1.6454459.6456472,AMP.3.169424861.197278637,CNA_AMP CNA_AMP,0.01,0.10,46,618,0.57,CO,TRUE,0.41,3,1,tumor_type_specific,esca
DEL.1.8068002.8089181,DEL.19.1107160.1186533,CNA_DEL CNA_DEL,0.01,0.01,61,68,0.00,ME,FALSE,0.41,2,2,multiple_tumor_types,"brca,stad"
AMP.4.55042340.55045488,AMP.19.58724943.58724943,CNA_AMP CNA_AMP,0.02,0.01,114,84,0.00,ME,FALSE,0.41,5,5,multiple_tumor_types,"blca,brca,esca,lusc,ov"
APOB,PPP6C,MUTATION MUTATION,0.01,0.00,74,24,0.25,CO,FALSE,0.41,1,0,not_detectable,
AMP.6.107218335.107220210,AMP.7.71037307.71285800,CNA_AMP CNA_AMP,0.01,0.01,84,70,0.00,ME,FALSE,0.41,3,3,multiple_tumor_types,"brca,ov,stad"
BRAF,RB1,MUTATION MUTATION,0.09,0.03,519,173,0.09,ME,FALSE,0.41,5,3,multiple_tumor_types,"gbm,luad,stad"
AMP.6.11418727.20405019,AMP.12.25358573.25362498,CNA_AMP CNA_AMP,0.03,0.03,155,175,0.06,ME,TRUE,0.41,3,1,tumor_type_specific,ov
AMP.1.150585939.161066590,AMP.2.83991586.84025341,CNA_AMP CNA_AMP,0.08,0.01,458,41,0.49,CO,TRUE,0.41,3,1,tumor_type_specific,ov
AMP.18.20411221.20420409,DEL.3.2212571.3100649,CNA_AMP CNA_DEL,0.02,0.01,138,61,0.00,ME,FALSE,0.41,3,3,multiple_tumor_types,"esca,ov,stad"
AMP.7.55245364.55247588,DEL.17.29420578.29708155,CNA_AMP CNA_DEL,0.05,0.01,292,55,0.00,ME,FALSE,0.41,1,1,tumor_type_specific,brca
NFE2L2,AMP.16.29109938.30914723,MUTATION CNA_AMP,0.02,0.02,99,101,0.00,ME,FALSE,0.41,3,2,multiple_tumor_types,"blca,esca"
AMP.2.190962107.191591346,AMP.4.55042340.55045488,CNA_AMP CNA_AMP,0.01,0.02,69,114,0.00,ME,FALSE,0.40,2,2,multiple_tumor_types,"brca,ov"
CREBBP,AMP.18.365815.1070920,MUTATION CNA_AMP,0.02,0.01,88,82,0.00,ME,FALSE,0.40,3,3,multiple_tumor_types,"blca,esca,ov"
AMP.5.176838719.176838719,AMP.X.49370374.49370374,CNA_AMP CNA_AMP,0.02,0.01,96,66,0.00,ME,FALSE,0.40,2,2,multiple_tumor_types,"brca,ov"
AMP.7.65981244.66019731,AMP.14.20524352.20524352,CNA_AMP CNA_AMP,0.01,0.01,86,57,0.00,ME,FALSE,0.40,3,3,multiple_tumor_types,"brca,esca,ov"
AMP.10.32421128.35328088,DEL.4.181525131.187647224,CNA_AMP CNA_DEL,0.01,0.02,74,145,0.00,ME,FALSE,0.40,6,6,multiple_tumor_types,"brca,esca,lihc,luad,ov,stad"
APC,AMP.13.113949229.113949229,MUTATION CNA_AMP,0.07,0.02,449,103,0.14,ME,FALSE,0.40,4,4,multiple_tumor_types,"blca,brca,crc,stad"
AMP.1.120476662.120476662,AMP.10.77066289.77066289,CNA_AMP CNA_AMP,0.02,0.01,143,83,0.02,ME,FALSE,0.40,2,2,multiple_tumor_types,"brca,ov"
KRAS,DEL.13.48876592.49059721,MUTATION CNA_DEL,0.07,0.03,406,166,0.02,ME,FALSE,0.40,7,6,multiple_tumor_types,"blca,brca,cesc,ov,stad,ucs"
AMP.3.169424861.197278637,AMP.8.81202107.81202107,CNA_AMP CNA_AMP,0.10,0.04,618,243,0.17,ME,TRUE,0.40,11,5,multiple_tumor_types,"esca,hnsc,luad,ov,stad"
AMP.2.178114632.178114912,AMP.7.73849586.75591429,CNA_AMP CNA_AMP,0.01,0.02,79,101,0.28,CO,TRUE,0.40,2,2,multiple_tumor_types,"esca,ov"
IDH1,MAX,MUTATION MUTATION,0.05,0.00,281,15,0.50,CO,FALSE,0.40,0,0,not_detectable,
BMPR2,SMAD4,MUTATION MUTATION,0.01,0.02,39,88,0.00,ME,FALSE,0.40,2,2,multiple_tumor_types,"crc,stad"
AMP.18.32832583.32862070,AMP.X.153230941.153239587,CNA_AMP CNA_AMP,0.01,0.02,50,144,0.00,ME,TRUE,0.40,2,2,multiple_tumor_types,"ov,stad"
EP300,ZC3H18,MUTATION MUTATION,0.02,0.01,89,49,0.00,ME,FALSE,0.40,2,2,multiple_tumor_types,"crc,stad"
AMP.1.6454459.6456472,AMP.12.43748011.44200178,CNA_AMP CNA_AMP,0.01,0.01,46,45,0.20,CO,TRUE,0.40,2,2,multiple_tumor_types,"brca,ov"
AMP.17.27212604.27212604,AMP.18.20411221.20420409,CNA_AMP CNA_AMP,0.02,0.02,115,138,0.04,ME,FALSE,0.40,3,2,multiple_tumor_types,"blca,brca"
AMP.6.147764267.147788103,AMP.15.99593198.99599607,CNA_AMP CNA_AMP,0.01,0.02,29,120,0.31,CO,FALSE,0.40,2,2,multiple_tumor_types,"brca,stad"
PIK3R1,AMP.16.29109938.30914723,MUTATION CNA_AMP,0.03,0.02,158,101,0.00,ME,FALSE,0.40,4,4,multiple_tumor_types,"brca,crc,ucec,ucs"
SMAD4,AMP.9.35681368.35683882,MUTATION CNA_AMP,0.02,0.02,88,92,0.00,ME,FALSE,0.40,3,3,multiple_tumor_types,"brca,esca,stad"
CREBBP,ERBB3,MUTATION MUTATION,0.02,0.01,88,54,0.00,ME,FALSE,0.40,4,4,multiple_tumor_types,"blca,crc,stad,ucec"
AMP.11.69476266.70165505,DEL.2.242254163.242296449,CNA_AMP CNA_DEL,0.08,0.02,465,90,0.03,ME,FALSE,0.40,8,7,multiple_tumor_types,"blca,brca,cesc,esca,ov,skcm,stad"
AMP.17.1268683.1310247,AMP.18.20411221.20420409,CNA_AMP CNA_AMP,0.01,0.02,36,138,0.00,ME,FALSE,0.40,1,1,tumor_type_specific,ov
AMP.8.55224770.55228081,AMP.X.153230941.153239587,CNA_AMP CNA_AMP,0.03,0.02,190,144,0.04,ME,TRUE,0.40,8,6,multiple_tumor_types,"brca,esca,lihc,luad,ov,skcm"
AMP.4.144737060.144746002,AMP.12.25358573.25362498,CNA_AMP CNA_AMP,0.01,0.03,35,175,0.00,ME,FALSE,0.40,3,3,multiple_tumor_types,"brca,esca,ov"
DEL.2.213864027.214015660,DEL.4.181525131.187647224,CNA_DEL CNA_DEL,0.01,0.02,36,145,0.00,ME,FALSE,0.40,2,2,multiple_tumor_types,"blca,brca"
AMP.1.14127643.14306878,AMP.6.11418727.20405019,CNA_AMP CNA_AMP,0.01,0.03,36,155,0.00,ME,FALSE,0.39,0,0,not_detectable,
AMP.3.12484849.12485147,AMP.17.19194237.19488218,CNA_AMP CNA_AMP,0.01,0.01,77,66,0.00,ME,FALSE,0.39,2,2,multiple_tumor_types,"blca,brca"
AJUBA,NOTCH1,MUTATION MUTATION,0.00,0.01,22,76,0.00,ME,FALSE,0.39,1,1,tumor_type_specific,hnsc
ARID2,AMP.22.41598565.41603654,MUTATION CNA_AMP,0.02,0.01,115,31,0.17,CO,FALSE,0.39,1,1,tumor_type_specific,skcm
BMPR1A,MET,MUTATION MUTATION,0.00,0.01,12,35,0.38,CO,FALSE,0.39,0,0,not_detectable,
AMP.1.204466860.204467676,AMP.7.92240982.92241005,CNA_AMP CNA_AMP,0.04,0.02,235,139,0.04,ME,TRUE,0.39,6,4,multiple_tumor_types,"brca,gbm,lihc,luad"
AMP.3.12484849.12485147,AMP.12.111904876.115143287,CNA_AMP CNA_AMP,0.01,0.01,77,41,0.31,CO,FALSE,0.39,2,2,multiple_tumor_types,"blca,ov"
PRB2,TGFBR2,MUTATION MUTATION,0.01,0.01,32,58,0.00,ME,FALSE,0.39,0,0,not_detectable,
ERBB2,AMP.16.5822456.8914905,MUTATION CNA_AMP,0.01,0.01,83,81,0.00,ME,FALSE,0.39,2,2,multiple_tumor_types,"blca,brca"
KMT2D,AMP.12.25358573.25362498,MUTATION CNA_AMP,0.04,0.03,229,175,0.00,ME,FALSE,0.39,8,8,multiple_tumor_types,"blca,brca,crc,esca,hnsc,lusc,stad,ucec"
AMP.1.120476662.120476662,AMP.3.82689239.90059611,CNA_AMP CNA_AMP,0.02,0.01,143,34,0.00,ME,FALSE,0.39,2,2,multiple_tumor_types,"brca,ov"
ATM,TP53,MUTATION MUTATION,0.02,0.37,139,2245,0.25,ME,TRUE,0.39,8,6,multiple_tumor_types,"blca,brca,kirc,luad,skcm,stad"
AMP.4.144737060.144746002,AMP.12.915322.916021,CNA_AMP CNA_AMP,0.01,0.02,35,146,0.00,ME,FALSE,0.39,3,3,multiple_tumor_types,"brca,esca,ov"
AMP.20.14248457.14330041,AMP.X.107519525.107540080,CNA_AMP CNA_AMP,0.01,0.01,38,34,0.29,CO,TRUE,0.39,1,1,tumor_type_specific,ov
AMP.4.55042340.55045488,AMP.16.29109938.30914723,CNA_AMP CNA_AMP,0.02,0.02,114,101,0.00,ME,FALSE,0.39,4,4,multiple_tumor_types,"blca,brca,esca,ov"
IL7R,NF1,MUTATION MUTATION,0.00,0.03,16,189,0.38,CO,FALSE,0.39,2,1,tumor_type_specific,skcm
PPP2R1A,AMP.16.29109938.30914723,MUTATION CNA_AMP,0.01,0.02,41,101,0.28,CO,FALSE,0.39,3,1,tumor_type_specific,ucec
SETD2,TGFBR2,MUTATION MUTATION,0.02,0.01,117,58,0.00,ME,FALSE,0.39,1,1,tumor_type_specific,crc
CIC,NOTCH2,MUTATION MUTATION,0.01,0.01,82,80,0.00,ME,FALSE,0.39,3,3,multiple_tumor_types,"crc,esca,stad"
BMPR1A,FUBP1,MUTATION MUTATION,0.00,0.01,12,36,0.43,CO,FALSE,0.39,0,0,not_detectable,
APOB,AMP.20.52173825.62219648,MUTATION CNA_AMP,0.01,0.05,74,288,0.00,ME,FALSE,0.39,6,5,multiple_tumor_types,"brca,crc,esca,lihc,skcm"
CREBBP,AMP.9.5423103.5423103,MUTATION CNA_AMP,0.02,0.02,88,89,0.00,ME,FALSE,0.39,4,4,multiple_tumor_types,"blca,esca,ov,stad"
AMP.14.77404750.77405619,AMP.18.20411221.20420409,CNA_AMP CNA_AMP,0.01,0.02,35,138,0.00,ME,FALSE,0.39,2,2,multiple_tumor_types,"brca,ov"
AMP.11.77628291.77628291,AMP.16.87920816.88025204,CNA_AMP CNA_AMP,0.04,0.01,214,31,0.00,ME,FALSE,0.39,2,2,multiple_tumor_types,"brca,stad"
AMP.10.32421128.35328088,AMP.18.32832583.32862070,CNA_AMP CNA_AMP,0.01,0.01,74,50,0.00,ME,FALSE,0.38,2,2,multiple_tumor_types,"ov,stad"
HLA-A,AMP.11.66999677.66999677,MUTATION CNA_AMP,0.01,0.03,63,193,0.00,ME,FALSE,0.38,3,2,multiple_tumor_types,"blca,hnsc"
APC,NFE2L2,MUTATION MUTATION,0.07,0.02,449,99,0.03,ME,FALSE,0.38,3,3,multiple_tumor_types,"blca,esca,ucec"
AMP.9.35681368.35683882,DEL.13.48876592.49059721,CNA_AMP CNA_DEL,0.02,0.03,92,166,0.00,ME,FALSE,0.38,4,4,multiple_tumor_types,"blca,brca,ov,stad"
APC,AMP.20.30246540.30250340,MUTATION CNA_AMP,0.07,0.04,449,212,0.40,CO,FALSE,0.38,7,0,not_detectable,
AMP.5.1288694.1288694,AMP.11.35244887.35245447,CNA_AMP CNA_AMP,0.05,0.02,282,103,0.05,ME,TRUE,0.38,7,5,multiple_tumor_types,"blca,brca,ov,stad,ucec"
